"filename", "language", "JavaScript", "XML", "HTML", "JSON", "JavaScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\engines\TerrainEngine.js", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 3, 34, 250
"f:\urbanReality\urban-reality-os\src\hooks\map\useCinematic.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 8, 12, 82
"f:\urbanReality\urban-reality-os\src\hooks\useAuthSync.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 13, 9, 48
"f:\urbanReality\urban-reality-os\src\hooks\useCameraControls.js", "JavaScript", 287, 0, 0, 0, 0, 0, 0, 25, 45, 357
"f:\urbanReality\urban-reality-os\src\hooks\useFloodAnimation.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 8, 16, 98
"f:\urbanReality\urban-reality-os\src\hooks\useInteractions.js", "JavaScript", 320, 0, 0, 0, 0, 0, 0, 22, 53, 395
"f:\urbanReality\urban-reality-os\src\hooks\useKeyboardShortcuts.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 16, 14, 92
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 183, 0, 0, 0, 0, 0, 0, 10, 35, 228
"f:\urbanReality\urban-reality-os\src\hooks\useLocationMetrics.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 13, 22, 157
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 360, 0, 0, 0, 0, 0, 0, 25, 53, 438
"f:\urbanReality\urban-reality-os\src\hooks\useOptimizations.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 13, 16, 88
"f:\urbanReality\urban-reality-os\src\hooks\useUrbanIntelligence.js", "JavaScript", 220, 0, 0, 0, 0, 0, 0, 46, 35, 301
"f:\urbanReality\urban-reality-os\src\hooks\useYearProjection.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 16, 17, 112
"f:\urbanReality\urban-reality-os\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 111, 9, 25, 145
