"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 7, 3, 7, 17
"f:\urbanReality\urban-reality-os\src\components\TimeSlider.jsx", "JavaScript JSX", 0, 4, 0, 2, 6
"f:\urbanReality\urban-reality-os\src\components\terrain\ElevationLayer.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"f:\urbanReality\urban-reality-os\src\components\terrain\TerrainController.jsx", "JavaScript JSX", 0, -1, 0, 0, -1
"f:\urbanReality\urban-reality-os\src\engines\DataEngine.js", "JavaScript", 12, 0, 2, 1, 15
"f:\urbanReality\urban-reality-os\src\engines\LayerEngine.js", "JavaScript", 7, 0, 0, 0, 7
"f:\urbanReality\urban-reality-os\src\hooks\useFloodAnimation.js", "JavaScript", -2, 0, 3, 0, 1
"f:\urbanReality\urban-reality-os\src\hooks\useInteractions.js", "JavaScript", 18, 0, 2, 3, 23
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 9, 0, 0, 1, 10
"f:\urbanReality\urban-reality-os\src\hooks\useLocationMetrics.js", "JavaScript", 5, 0, -5, 0, 0
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 2, 0, 0, 0, 2
"f:\urbanReality\urban-reality-os\src\hooks\useYearProjection.js", "JavaScript", 12, 0, 0, 2, 14
"f:\urbanReality\urban-reality-os\src\layers\FloodLayerPlugin.js", "JavaScript", 16, 0, 4, 1, 21
"f:\urbanReality\urban-reality-os\src\layers\terrain\TerrainFloodPlugin.js", "JavaScript", -21, 0, 1, -1, -21
"f:\urbanReality\urban-reality-os\src\store\selectors.js", "JavaScript", -4, 0, 0, 0, -4
"f:\urbanReality\urban-reality-os\src\store\useMapStore.js", "JavaScript", -6, 0, 0, 0, -6
"Total", "-", 48, 11, 10, 16, 85
