"filename", "language", "JavaScript", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\engines\CityBrain.js", "JavaScript", 318, 72, 48, 438
"f:\urbanReality\urban-reality-os\src\engines\FacilityEngine.js", "JavaScript", 184, 25, 31, 240
"f:\urbanReality\urban-reality-os\src\engines\LayerEngine.js", "JavaScript", 202, 58, 46, 306
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 192, 50, 30, 272
"Total", "-", 896, 205, 155, 1256
