"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\InsightPanel.jsx", "JavaScript JSX", 0, 81, 0, 7, 88
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 10, 0, 0, 10
"f:\urbanReality\urban-reality-os\src\components\TimeSlider.jsx", "JavaScript JSX", 0, 12, 0, 1, 13
"f:\urbanReality\urban-reality-os\src\engines\CityBrain.js", "JavaScript", 137, 0, 49, 31, 217
"f:\urbanReality\urban-reality-os\src\engines\DataEngine.js", "JavaScript", 140, 0, 1, 11, 152
"f:\urbanReality\urban-reality-os\src\engines\LayerEngine.js", "JavaScript", 137, 0, -7, 12, 142
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 30, 0, 0, 2, 32
"f:\urbanReality\urban-reality-os\src\engines\SimulationEngine.js", "JavaScript", 90, 0, 2, 6, 98
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 36, 0, 0, 1, 37
"f:\urbanReality\urban-reality-os\src\layers\BuildingsLayerPlugin.js", "JavaScript", 36, 0, 2, 2, 40
"f:\urbanReality\urban-reality-os\src\store\slices\simulationSlice.js", "JavaScript", 6, 0, 0, 0, 6
"f:\urbanReality\urban-reality-os\src\ui\layout\ContextCard.jsx", "JavaScript JSX", 0, 67, 0, 4, 71
"f:\urbanReality\urban-reality-os\src\ui\layout\RightPanel.jsx", "JavaScript JSX", 0, 2, 0, 0, 2
"f:\urbanReality\urban-reality-os\src\workers\geospatialIngestWorker.js", "JavaScript", 74, 0, 0, 11, 85
"f:\urbanReality\urban-reality-os\src\workers\simulationWorker.js", "JavaScript", 42, 0, 5, 9, 56
"Total", "-", 728, 172, 52, 97, 1049
