"filename", "language", "JSON", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "HTML", "XML", "comment", "blank", "total"
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\components\ResponsiveLocationPanel.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 7, 9, 68
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 300, 0, 0, 0, 12, 24, 336
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\components\TimeSlider.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 1, 8, 50
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\index.css", "PostCSS", 0, 0, 38, 0, 0, 0, 0, 4, 6, 48
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\main.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 1, 5, 32
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\aqi.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 6, 11, 66
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\demographics.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 21, 12, 65
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\economicLoss.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 6, 7, 37
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\economics.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 2, 10, 119
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\gemini.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 21, 16, 129
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\impactModel.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 14, 20, 127
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\rainfall.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\src\utils\worldBank.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 17, 26, 154
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\tailwind.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 0, 12
"f:\Coding\UrbanRealityOS-HC\urbanReality-master\urban-reality-os\vite.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 6897, 930, 230, 3246, 47, 12, 1, 305, 621, 12289
