"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\server\index.js", "JavaScript", 9, 0, -2, -1, 6
"f:\urbanReality\urban-reality-os\server\routes\auth.js", "JavaScript", 15, 0, 0, 3, 18
"f:\urbanReality\urban-reality-os\server\routes\gemini.js", "JavaScript", 6, 0, 0, 1, 7
"f:\urbanReality\urban-reality-os\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 82, 21, 15, 118
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 47, 11, 5, 63
"f:\urbanReality\urban-reality-os\src\config\performance.js", "JavaScript", 44, 0, 5, 3, 52
"f:\urbanReality\urban-reality-os\src\constants\mapConstants.js", "JavaScript", 1, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\src\core\CacheEngine.js", "JavaScript", 46, 0, 32, 6, 84
"f:\urbanReality\urban-reality-os\src\core\EventBus.js", "JavaScript", 83, 0, 28, 7, 118
"f:\urbanReality\urban-reality-os\src\core\FrameController.js", "JavaScript", 137, 0, 15, 29, 181
"f:\urbanReality\urban-reality-os\src\core\Logger.js", "JavaScript", 90, 0, 42, 22, 154
"f:\urbanReality\urban-reality-os\src\engines\DataEngine.js", "JavaScript", 28, 0, -2, 9, 35
"f:\urbanReality\urban-reality-os\src\engines\FacilityEngine.js", "JavaScript", 64, 0, 13, 15, 92
"f:\urbanReality\urban-reality-os\src\engines\InteractionEngine.js", "JavaScript", 14, 0, 5, 4, 23
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 65, 0, -10, 10, 65
"f:\urbanReality\urban-reality-os\src\engines\SimulationEngine.js", "JavaScript", 23, 0, 6, 3, 32
"f:\urbanReality\urban-reality-os\src\hooks\map\useCinematic.js", "JavaScript", 8, 0, 2, 1, 11
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapInit.js", "JavaScript", 25, 0, 0, 2, 27
"f:\urbanReality\urban-reality-os\src\hooks\useCameraControls.js", "JavaScript", 117, 0, 15, 19, 151
"f:\urbanReality\urban-reality-os\src\hooks\useFloodAnimation.js", "JavaScript", 15, 0, 0, 3, 18
"f:\urbanReality\urban-reality-os\src\hooks\useInteractions.js", "JavaScript", 37, 0, 0, 5, 42
"f:\urbanReality\urban-reality-os\src\hooks\useKeyboardShortcuts.js", "JavaScript", 41, 0, 12, 9, 62
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 8, 0, -2, 3, 9
"f:\urbanReality\urban-reality-os\src\hooks\useLocationMetrics.js", "JavaScript", 6, 0, 10, 1, 17
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 79, 0, 20, 13, 112
"f:\urbanReality\urban-reality-os\src\hooks\useOptimizations.js", "JavaScript", -9, 0, 0, -1, -10
"f:\urbanReality\urban-reality-os\src\hooks\useYearProjection.js", "JavaScript", 6, 0, 13, 4, 23
"f:\urbanReality\urban-reality-os\src\store\selectors.js", "JavaScript", 18, 0, 6, 5, 29
"f:\urbanReality\urban-reality-os\src\store\useMapStore.js", "JavaScript", 4, 0, 8, 5, 17
"f:\urbanReality\urban-reality-os\src\utils\cache.js", "JavaScript", 47, 0, 4, 8, 59
"f:\urbanReality\urban-reality-os\src\utils\gemini.js", "JavaScript", 54, 0, 26, 14, 94
"f:\urbanReality\urban-reality-os\src\utils\safeFetch.js", "JavaScript", 55, 0, 39, 15, 109
"Total", "-", 1136, 129, 317, 237, 1819
