"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\terrain\ElevationLayer.jsx", "JavaScript JSX", 0, -97, -5, -13, -115
"f:\urbanReality\urban-reality-os\src\components\terrain\FloodSimulationLayer.jsx", "JavaScript JSX", 0, -172, -6, -21, -199
"f:\urbanReality\urban-reality-os\src\components\terrain\GreenCoverLayer.jsx", "JavaScript JSX", 0, -204, -25, -31, -260
"f:\urbanReality\urban-reality-os\src\components\terrain\HeatLayer.jsx", "JavaScript JSX", 0, -218, -16, -25, -259
"f:\urbanReality\urban-reality-os\src\components\terrain\RoadPlannerLayer.jsx", "JavaScript JSX", 0, -256, -18, -36, -310
"f:\urbanReality\urban-reality-os\src\components\terrain\SuitabilityLayer.jsx", "JavaScript JSX", 0, -220, -14, -25, -259
"f:\urbanReality\urban-reality-os\src\components\terrain\TerrainController.jsx", "JavaScript JSX", 0, -27, 0, -2, -29
"f:\urbanReality\urban-reality-os\src\engines\LayerEngine.js", "JavaScript", 24, 0, 1, 1, 26
"f:\urbanReality\urban-reality-os\src\hooks\map\useFlood.js", "JavaScript", -86, 0, -1, -20, -107
"f:\urbanReality\urban-reality-os\src\hooks\map\useSimulation.js", "JavaScript", -41, 0, -1, -8, -50
"f:\urbanReality\urban-reality-os\src\hooks\map\useTerrain.js", "JavaScript", -31, 0, 0, -6, -37
"f:\urbanReality\urban-reality-os\src\hooks\map\useTerrainLayers.js", "JavaScript", -37, 0, 0, -7, -44
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 15, 0, 2, 7, 24
"f:\urbanReality\urban-reality-os\src\hooks\useSimulationEngine.js", "JavaScript", -16, 0, 0, -4, -20
"f:\urbanReality\urban-reality-os\src\hooks\useTerrainSystem.js", "JavaScript", -25, 0, 0, -5, -30
"f:\urbanReality\urban-reality-os\src\layers\terrain\GreenCoverLayerPlugin.js", "JavaScript", 120, 0, 4, 19, 143
"f:\urbanReality\urban-reality-os\src\layers\terrain\HeatLayerPlugin.js", "JavaScript", 114, 0, 5, 17, 136
"f:\urbanReality\urban-reality-os\src\layers\terrain\RoadPlannerLayerPlugin.js", "JavaScript", 139, 0, 4, 27, 170
"Total", "-", 176, -1194, -70, -132, -1220
