"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"f:\urbanReality\urban-reality-os\src\components\FloodSimulationLayer.jsx", "JavaScript JSX", 0, -270, -8, -32, -310
"f:\urbanReality\urban-reality-os\src\components\MapView.jsx", "JavaScript JSX", 0, 32, 5, 6, 43
"f:\urbanReality\urban-reality-os\src\components\SearchBar.jsx", "JavaScript JSX", 0, 7, 0, 2, 9
"f:\urbanReality\urban-reality-os\src\core\FrameController.js", "JavaScript", 6, 0, 4, 1, 11
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 25, 0, 7, 2, 34
"f:\urbanReality\urban-reality-os\src\hooks\map\useCinematic.js", "JavaScript", 2, 0, 1, 0, 3
"f:\urbanReality\urban-reality-os\src\hooks\map\useDataFetching.js", "JavaScript", -69, 0, 0, -9, -78
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapInit.js", "JavaScript", -120, 0, -2, -16, -138
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapLibreEvents.jsx", "JavaScript JSX", 0, -189, -20, -30, -239
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 27, 0, 1, 5, 33
"f:\urbanReality\urban-reality-os\src\layers\BuildingsLayerPlugin.js", "JavaScript", 37, 0, 26, 13, 76
"f:\urbanReality\urban-reality-os\src\main.jsx", "JavaScript JSX", 0, 1, 1, 3, 5
"f:\urbanReality\urban-reality-os\src\utils\safeFetch.js", "JavaScript", 1, 0, 0, 2, 3
"Total", "-", -91, -418, 15, -53, -547
